year,oem_name,oem_category,e2w_registrations,data_source,market_share_pct,source_dataset,provenance_class,eligible_as_observed_analytics
2020,Hero Electric,Legacy Pure-EV,8100,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024),29.727,oem_e2w_registrations_annual.csv,generated_proxy,No
2020,Others / Unorganized,Regional Players,6498,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024),23.8476,oem_e2w_registrations_annual.csv,generated_proxy,No
2020,Okinawa Autotech,Legacy Pure-EV,5600,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024),20.552,oem_e2w_registrations_annual.csv,generated_proxy,No
2020,Ampere / Greaves,Legacy Pure-EV,4200,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024),15.414,oem_e2w_registrations_annual.csv,generated_proxy,No
2020,Ather Energy,Pure-Play EV Tech Startup,1400,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024),5.138,oem_e2w_registrations_annual.csv,generated_proxy,No
2020,Revolt Motors,Pure-Play EV Tech Startup,1100,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024),4.037,oem_e2w_registrations_annual.csv,generated_proxy,No
2020,TVS Motor Company,Legacy Automotive OEM,200,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024),0.734,oem_e2w_registrations_annual.csv,generated_proxy,No
2020,Bajaj Auto,Legacy Automotive OEM,150,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024),0.5505,oem_e2w_registrations_annual.csv,generated_proxy,No
2021,Hero Electric,Legacy Pure-EV,46200,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024),32.2158,oem_e2w_registrations_annual.csv,generated_proxy,No
2021,Okinawa Autotech,Legacy Pure-EV,29900,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024),20.8496,oem_e2w_registrations_annual.csv,generated_proxy,No
