year,month,year_month,state,state_code,e2w_registrations,total_2w_registrations,data_source,date,ev_penetration_pct,source_dataset,provenance_class,eligible_as_observed_analytics
2020,1,2020-01,Andhra Pradesh,AP,61,67527,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-01-01,0.0903,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,2,2020-02,Andhra Pradesh,AP,64,70228,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-02-01,0.0911,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,3,2020-03,Andhra Pradesh,AP,78,85534,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-03-01,0.0912,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,4,2020-04,Andhra Pradesh,AP,59,64826,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-04-01,0.091,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,5,2020-05,Andhra Pradesh,AP,57,63025,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-05-01,0.0904,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,6,2020-06,Andhra Pradesh,AP,60,65726,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-06-01,0.0913,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,7,2020-07,Andhra Pradesh,AP,62,68427,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-07-01,0.0906,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,8,2020-08,Andhra Pradesh,AP,67,73830,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-08-01,0.0907,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,9,2020-09,Andhra Pradesh,AP,72,79232,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-09-01,0.0909,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,10,2020-10,Andhra Pradesh,AP,86,94538,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-10-01,0.091,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,11,2020-11,Andhra Pradesh,AP,83,91837,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-11-01,0.0904,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,12,2020-12,Andhra Pradesh,AP,69,75630,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-12-01,0.0912,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,1,2021-01,Andhra Pradesh,AP,323,67527,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-01-01,0.4783,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,2,2021-02,Andhra Pradesh,AP,335,70228,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-02-01,0.477,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,3,2021-03,Andhra Pradesh,AP,409,85534,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-03-01,0.4782,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,4,2021-04,Andhra Pradesh,AP,310,64826,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-04-01,0.4782,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,5,2021-05,Andhra Pradesh,AP,301,63025,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-05-01,0.4776,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,6,2021-06,Andhra Pradesh,AP,314,65726,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-06-01,0.4777,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,7,2021-07,Andhra Pradesh,AP,327,68427,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-07-01,0.4779,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,8,2021-08,Andhra Pradesh,AP,353,73830,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-08-01,0.4781,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,9,2021-09,Andhra Pradesh,AP,378,79232,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-09-01,0.4771,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,10,2021-10,Andhra Pradesh,AP,452,94538,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-10-01,0.4781,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,11,2021-11,Andhra Pradesh,AP,439,91837,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-11-01,0.478,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,12,2021-12,Andhra Pradesh,AP,361,75630,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-12-01,0.4773,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,1,2022-01,Andhra Pradesh,AP,1385,67527,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-01-01,2.051,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,2,2022-02,Andhra Pradesh,AP,1440,70228,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-02-01,2.0505,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,3,2022-03,Andhra Pradesh,AP,1754,85534,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-03-01,2.0506,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,4,2022-04,Andhra Pradesh,AP,1329,64826,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-04-01,2.0501,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,5,2022-05,Andhra Pradesh,AP,1292,63025,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-05-01,2.05,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,6,2022-06,Andhra Pradesh,AP,1348,65726,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-06-01,2.0509,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,7,2022-07,Andhra Pradesh,AP,1403,68427,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-07-01,2.0504,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,8,2022-08,Andhra Pradesh,AP,1514,73830,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-08-01,2.0507,vahan_e2w_registrations_monthly.csv,generated_proxy,No
