manufacturer,product,model_name,value_score,range_score,battery_score,price_efficiency_score,performance_score,metric_type,methodology_version,normalization_method,weight_configuration
Ampere,Nexus EX,Nexus EX,10.223551982774381,0.0,12.048192771084336,6.684225142801488,40.95238095238095,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ampere,Nexus ST,Nexus ST,9.332399427902608,0.0,12.048192771084336,3.119614923314393,40.95238095238095,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ather Energy,450 Apex,450 Apex,,25.56053811659193,20.481927710843372,,,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ather Energy,450S 3.7 kWh,450S 3.7 kWh,,27.3542600896861,20.481927710843372,,,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ather Energy,450X 2.9 kWh,450X 2.9 kWh,,11.659192825112108,10.843373493975902,,,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ather Energy,450X 3.7 kWh,450X 3.7 kWh,,27.3542600896861,20.481927710843372,,,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ather Energy,Rizta S 2.9 kWh,Rizta S 2.9 kWh,,10.31390134529148,10.843373493975902,24.57813757498657,,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ather Energy,Rizta S 3.7 kWh,Rizta S 3.7 kWh,,26.45739910313901,20.481927710843372,25.884595254520438,,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ather Energy,Rizta Z 2.9 kWh,Rizta Z 2.9 kWh,,10.31390134529148,10.843373493975902,13.838057072082776,,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ather Energy,Rizta Z 3.7 kWh,Rizta Z 3.7 kWh,,26.45739910313901,20.481927710843372,20.321233214081282,,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
BGauss,C12i MAX,C12i MAX,15.788539516332,15.695067264573993,14.457831325301207,20.761499667482923,9.523809523809524,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
BGauss,RUV 350,RUV 350,19.685579727140396,15.695067264573993,12.048192771084336,29.705942782661452,23.809523809523807,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Bajaj Auto,Chetak 3001,Chetak 3001,,12.10762331838565,12.048192771084336,,12.380952380952381,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Bajaj Auto,Chetak 3501,Chetak 3501,22.55570817312687,23.766816143497756,18.072289156626503,24.595238394752723,21.904761904761905,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Bajaj Auto,Chetak 3502,Chetak 3502,24.142286487670162,23.766816143497756,18.072289156626503,30.941551652925902,21.904761904761905,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Bajaj Auto,Chetak 3503,Chetak 3503,,22.869955156950674,18.072289156626503,,12.380952380952381,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Bajaj Auto,Chetak C2501,Chetak C2501,11.786133198695898,5.829596412556054,6.024096385542168,30.14075856911732,4.761904761904762,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Hero MotoCorp (VIDA),VIDA V1 Plus,VIDA V1 Plus,26.23934590144707,19.282511210762333,17.34939759036144,43.082990453422255,28.57142857142857,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Hero MotoCorp (VIDA),VIDA V1 Pro,VIDA V1 Pro,29.187470645757863,29.14798206278027,23.37349397590361,34.271458959002985,28.57142857142857,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Kinetic Green,E-Luna,E-Luna,12.631310445751033,4.484304932735426,0.0,43.35035389062745,0.0,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Kinetic Green,Zulu,Zulu,8.33759215132027,1.7937219730941705,3.2530120481927707,22.163718095490477,9.523809523809524,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ola Electric,S1 Pro Gen 3 3 kWh,S1 Pro Gen 3 3 kWh,,,12.048192771084336,,,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ola Electric,S1 Pro Gen 3 4 kWh,S1 Pro Gen 3 4 kWh,,,24.096385542168672,,,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ola Electric,S1 Pro Plus Gen 3 4 kWh,S1 Pro Plus Gen 3 4 kWh,,,24.096385542168672,,,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ola Electric,S1 Pro Plus Gen 3 5.3 kWh,S1 Pro Plus Gen 3 5.3 kWh,,,39.75903614457831,,,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ola Electric,S1 X Gen 3 2 kWh,S1 X Gen 3 2 kWh,16.763955215746208,3.587443946188341,0.0,32.17305340622635,48.57142857142857,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
