year,oem_name,oem_category,e2w_registrations,data_source
2020,Hero Electric,Legacy Pure-EV,8100,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2020,Okinawa Autotech,Legacy Pure-EV,5600,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2020,Ampere / Greaves,Legacy Pure-EV,4200,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2020,Ather Energy,Pure-Play EV Tech Startup,1400,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2020,Revolt Motors,Pure-Play EV Tech Startup,1100,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2020,TVS Motor Company,Legacy Automotive OEM,200,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2020,Bajaj Auto,Legacy Automotive OEM,150,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2020,Others / Unorganized,Regional Players,6498,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2021,Hero Electric,Legacy Pure-EV,46200,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2021,Okinawa Autotech,Legacy Pure-EV,29900,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2021,Ather Energy,Pure-Play EV Tech Startup,15800,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2021,Ampere / Greaves,Legacy Pure-EV,12400,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2021,Pure EV,Legacy Pure-EV,8100,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2021,TVS Motor Company,Legacy Automotive OEM,5300,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2021,Revolt Motors,Pure-Play EV Tech Startup,4800,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2021,Bajaj Auto,Legacy Automotive OEM,4100,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2021,Ola Electric,Pure-Play EV Tech Startup,250,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2021,Others / Unorganized,Regional Players,16558,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2022,Ola Electric,Pure-Play EV Tech Startup,109200,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2022,Okinawa Autotech,Legacy Pure-EV,101300,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2022,Hero Electric,Legacy Pure-EV,88700,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2022,Ampere / Greaves,Legacy Pure-EV,80200,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2022,Ather Energy,Pure-Play EV Tech Startup,51600,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2022,TVS Motor Company,Legacy Automotive OEM,47100,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2022,Bajaj Auto,Legacy Automotive OEM,24800,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2022,Revolt Motors,Pure-Play EV Tech Startup,14200,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2022,Pure EV,Legacy Pure-EV,11500,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2022,Others / Unorganized,Regional Players,86765,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2023,Ola Electric,Pure-Play EV Tech Startup,266300,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2023,TVS Motor Company,Legacy Automotive OEM,153800,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2023,Ather Energy,Pure-Play EV Tech Startup,104700,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2023,Bajaj Auto,Legacy Automotive OEM,71300,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2023,Ampere / Greaves,Legacy Pure-EV,46400,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2023,Okinawa Autotech,Legacy Pure-EV,20800,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2023,Hero VIDA,Legacy Automotive OEM,11600,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2023,Hero Electric,Legacy Pure-EV,8900,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2023,Greaves Electric,Legacy Pure-EV,6200,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2023,Others / Unorganized,Regional Players,169376,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2024,Ola Electric,Pure-Play EV Tech Startup,412500,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2024,TVS Motor Company,Legacy Automotive OEM,215600,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2024,Bajaj Auto,Legacy Automotive OEM,174200,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2024,Ather Energy,Pure-Play EV Tech Startup,112800,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2024,Hero VIDA,Legacy Automotive OEM,38900,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2024,Ampere / Greaves,Legacy Pure-EV,28400,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2024,BGauss,Pure-Play EV Tech Startup,14300,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2024,Revolt Motors,Pure-Play EV Tech Startup,8900,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2024,Okinawa Autotech,Legacy Pure-EV,6100,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2024,Quantum Energy,Pure-Play EV Tech Startup,3200,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2024,Others / Unorganized,Regional Players,140520,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2025,Ola Electric,Pure-Play EV Tech Startup,310000,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2025,TVS Motor Company,Legacy Automotive OEM,248000,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2025,Bajaj Auto,Legacy Automotive OEM,222000,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2025,Ather Energy,Pure-Play EV Tech Startup,142000,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2025,Hero VIDA,Legacy Automotive OEM,64000,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2025,Ampere / Greaves,Legacy Pure-EV,31000,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2025,BGauss,Pure-Play EV Tech Startup,18000,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2025,Revolt Motors,Pure-Play EV Tech Startup,11500,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2025,Quantum Energy,Pure-Play EV Tech Startup,4200,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
2025,Others / Unorganized,Regional Players,73800,Vahan 4.0 Dashboard & SEBI DRHP Disclosures (Ola Electric DRHP 2024)
